Brand,Company,Date,ProductDescription,ProductType,Reason,Url,Terminated
Multiple brand names,"Gold Star Distribution, Inc.",12/26/2025,"All FDA-regulated products held at facility including drugs, medical devices, cosmetics, dietary supplements, human food, and pet food","Animal & Veterinary, Foodborne Illness, Cosmetics, Foodborne Illness, Dietary Supplements, Foodborne Illness, Drugs, Foodborne Illness, Food & Beverages, Foodborne Illness, Medical Devices, Foodborne Illness","Potential Salmonella contamination, presence of rodent and avian contamination and insanitary conditions during the storage process.",https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/gold-star-distribution-inc-issues-recall-certain-fda-regulated-products-three-states-including-drugs,
"Country Vet, Heartland Harvest","Consumers Supply Distributing, LLC",12/24/2025,Dog Biscuits,"Animal & Veterinary, Foodborne Illness, Pet Food, Food & Beverages, Foodborne Illness, Pet Food",Potential to be contaminated with Salmonella,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/consumers-supply-distributing-llc-recalls-country-vet-biscuits-dogs-due-possible-salmonella-health,
Willy Pete’s Chocolates,Willy Pete’s Chocolate Company LLC,12/23/2025,Almond Despair chocolate bar,"Food & Beverages, Allergens",Potential or Undeclared Allergen - Almond,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/recall-notice-willy-petes-chocolate-company-llc-harwinton-issues-recall-chocolate-bars-due-almonds,
Atwater's,Atwater's,12/23/2025,Cookie tins,"Food & Beverages, Allergens","Undeclared tree nut allergens, almonds, pecans, and walnuts.",https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/atwaters-issues-allergy-alert-undeclared-tree-nut-allergen-cookie-tin-labels,
Gregory's Foods,"Gregory's Foods, Inc.",12/23/2025,Bag Full of Cookies White Chocolate Macadamia Nut Frozen Cookie Dough,"Food & Beverages, Allergens",Undeclared peanuts,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/gregorys-foods-issues-allergy-alert-undeclared-peanuts-bag-full-cookies-white-chocolate-macadamia,
Choceur,"Silvestri Sweet, Inc.",12/23/2025,Holiday Bark,"Food & Beverages, Allergens",Undeclared pecans and wheat,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/silvestri-sweets-expands-voluntary-allergy-alert-undeclared-pecan-and-wheat-cookie-butter-holiday,
Virgo,Handelnine Global Limited d/b/a Navafresh,12/22/2025,Rheumacare Capsules,Drugs,Elevated levels of lead,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/handelnine-global-limited-dba-navafresh-issues-nationwide-recall-rheumacare-capsules-virgo-uap,
Troemner Family Farm,Troemner Farm,12/22/2025,Pfeffernusse Cookies,"Food & Beverages, Allergens","Undeclared milk, wheat, and soy allergens",https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/troemner-roemner-farm-issues-allergy-alert-undeclared-milk-wheat-and-soy-pfeffernusse-cookies,
Fran’s,Contains undeclared hazelnut,12/20/2025,Almondmilk Chocolate 46% Madagascar Plant-Based,"Food & Beverages, Allergens",Contains undeclared hazelnut,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/frans-chocolates-ltd-issues-allergy-alert-undeclared-hazelnuts-frans-pure-bar-almondmilk-chocolate,
Market 32 and Waterfront Bistro,Direct Source Seafood LLC,12/19/2025,Frozen Raw Shrimp,"Food & Beverages, Contaminants, Shellfish","Product may have been prepared, packed, or held under conditions whereby they may have become exposed to very low levels of cesium-137 (Cs-137)",https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/direct-source-seafood-llc-recalling-frozen-raw-shrimp-because-product-may-have-become-contaminated,
Higher Harvest by H-E-B,PlantBased Innovations,12/19/2025,"Dairy-Free Coconut Yogurt, Strawberry flavor","Food & Beverages, Allergens",May contain undeclared almond,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/plantbased-innovations-issues-allergy-alert-undeclared-almond-h-e-b-dairy-free-coconut-yogurt,
Olympus,Olympus Corporation,12/18/2025,Single use ligating device,Medical Devices,PolyLoop device may fail to detach as expected and become anchored to patient anatomy,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/olympus-announces-voluntary-corrective-action-single-use-ligating-device,
Charlevoix Cheese Company,Boss Dairy Farms,12/18/2025,Milk Cheddar Cheese,"Food & Beverages, Foodborne Illness, Cheese/Cheese Product",Potential to be contaminated with Listeria monocytogenes.,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/boss-dairy-farms-voluntarily-recalls-retail-mild-cheddar-cheese-because-possible-health-risk,
Publix,"A.S.K. Foods, LLC",12/18/2025,Publix Rice & Pigeon Peas,"Food & Beverages, Allergens",Contains undeclared soy,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/ask-foods-llc-issues-allergy-alert-undeclared-soy-publix-rice-pigeon-peas,
No Brand,Primavera Nueva Inc.,12/17/2025,Tamales,"Food & Beverages, Foodborne Illness",Potential presence of Listeria monocytogenes.,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/primavera-nueva-inc-issues-voluntary-recall-select-4-count-tamales-because-possible-health-risk,
MR7 Super 700000,StuffbyNainax LLC,12/16/2025,Dietary supplement for male enhancement,"Dietary Supplements, Drugs",Undeclared Sildenafil and Tadalafil,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/stuffbynainax-llc-issues-voluntary-nationwide-recall-mr7-super-700000-dietary-supplement-due,
"ReBoost, ClearLife",MediNatura New Mexico Inc.,12/16/2025,"Nasal spray, 0.68 fl oz",Drugs,"Product has been found to contain yeast/mold and microbial contamination with one species identified as Achromobacter, at levels above specifications.",https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/medinatura-new-mexico-inc-expands-voluntary-nationwide-recall-reboost-nasal-spray-and-include,
Publix,The James Skinner LLC,12/16/2025,Publix Raspberry Coffee Cake,"Food & Beverages, Allergens",Label does not declare walnuts in the ingredient list.,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/james-skinner-llc-issues-voluntary-recall-publix-maple-walnut-coffee-cake-due-incorrect-labeling,
Ukrop’s,"Ukrop;s Homestyle Foods, LLC",12/15/2025,Decorated pound cakes,Food & Beverages,Undeclared soy,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/ukrops-homestyle-foods-announces-recall-due-undeclared-allergen,
So Delicious,Danone U.S.,12/15/2025,Non-dairy frozen dessert,Food & Beverages,Potential presence of foreign materials such as stones and other hard objects.,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/so-delicious-dairy-freer-salted-caramel-cluster-frozen-dessert-pints-voluntarily-recalled-danone-us,
Town Food Service Equipment Co.,"Town Food Service Equipment Co., Inc.",12/12/2025,4 sizes of aluminum saucepans with capacities ranging from 1 quart to 3 quarts,Food & Beverages,Aluminum saucepans recalled because they have the potential to be contaminated with lead (Pb) which may leach into food.,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/town-food-service-equipment-co-inc-recalls-aluminum-saucepans-because-possible-health-risk,
Bengal King,South Asian Food Inc,12/12/2025,Jhal Chanachur food treats,Food & Beverages,May contain undeclared peanut allergen,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/south-asian-food-inc-issues-allergy-alert-undeclared-peanuts-bengal-king-jhal-chanachur,
White Castle,White Castle Food Products LLC,12/12/2025,"Original Sliders, frozen, 4 count carton",Food & Beverages,May contain undeclared milk and soy allergens,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/white-castle-frozen-food-division-recalls-frozen-4-count-cartons-original-sliders-due-undeclared,
Lunds & Byerlys,Lunds & Byerlys,12/10/2025,Monster cookies,Food & Beverages,"May contain undeclared peanut, egg, and soy allergens",https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/lunds-byerlys-voluntary-recalls-lb-monster-cookies-due-incorrect-labeling,
Meal Simple,Bakkavor USA,12/10/2025,Red Lentil Dal Soup,Food & Beverages,May contain undeclared milk allergens,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/bakkavor-usa-issues-allergy-alert-16-ounce-meal-simple-red-lentil-dal-soup-due-undeclared-milk,
Nutrena® Country Feeds®,Cargill Animal Nutrition & Health,12/10/2025,"Nutrena® Country Feeds® Cracked Corn for livestock, 50 lb. bag","Animal & Veterinary, Animal Feed","Product may contain aflatoxin levels that exceed the Food and Drug Administration (FDA) action level for immature animals, wildlife, equines, small ruminants, and dairy animals.",https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/cargill-conducts-voluntary-recall-single-lot-nutrenar-country-feedsr-cracked-corn-livestock-due,
ReBoost,MediNatura New Mexico Inc.,12/10/2025,"Nasal spray, 0.68 fl oz",Drugs,"Product has been found to contain yeast/mold and microbial contamination with one species identified as Achromobacter, at levels above specifications.",https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/medinatura-new-mexico-inc-issues-voluntary-nationwide-recall-reboost-nasal-spray-due-microbial,
Lucky Foods,TBC Distribution Corporate,12/09/2025,"Lucky Foods brand Cinnamon Powder 40g, best before date 15.09.2027, packaged in a vacuum or modified atmosphere 40g pouch with a brown label",Food & Beverages,Potential to be contaminated with elevated levels of lead,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/tbc-distribution-corporate-recalls-lucky-foods-brand-cinnamon-powder-because-possible-health-risk,
Grandma Belle’s,Lil’ Turtles,12/09/2025,Tomato Basil Soup,Food & Beverages,Potential or Undeclared Allergen – Undeclared Milk,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/lil-turtles-issues-voluntary-recall-due-undeclared-milk-allergen,
Wegmans,"Mellace Family Brands California, Inc.",12/05/2025,Deluxe Mixed Nuts Unsalted (34 oz tubs and 11.5 oz bags),Food & Beverages,Product may be contaminated with Salmonella,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/mellace-family-brands-california-inc-recalls-wegmans-deluxe-mixed-nuts-unsalted-34-oz-and-115-oz,
Bonnihill Farms,Fromm Family Foods,12/03/2025,"BeefiBowls Beef Recipe gently cooked frozen dog food, 16 oz. chubs","Animal & Veterinary, Contaminants, Animal Feed, Food & Beverages, Contaminants, Animal Feed",Potential foreign plastic contamination,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/fromm-family-foods-voluntarily-recalls-bonnihill-beefibowls-food-dogs-due-potential-foreign-material,
Vetoquinol,Vetoquinol USA,12/02/2025,FOLLTROPIN Injectable Kits for Cattle,Animal & Veterinary,Presence of particulate matter,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/vetoquinol-usa-inc-recalls-six-lots-folltropin-injectable-kits-cattle-due-presence-particulate,
Ritz,Mondelez Global LLC,12/02/2025,Peanut Butter Cracker Sandwiches,"Food & Beverages, Allergens",Potential or Undeclared Allergen – Undeclared Peanut,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/mondelez-global-llc-conducts-limited-voluntary-recall-1-sku-ritz-peanut-butter-cracker-sandwiches,
Anthony’s,Anthony’s BBQ Sauce,11/26/2025,Barbecue Sauce,,May contain undeclared Anchovy (fish).,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/anthonys-bbq-issues-allergy-alert-undeclared-fish-anchovy-anthonys-barbecue-dip-it-sauce,
Prairie Farms,Prairie Farms,11/26/2025,Fat Free Milk,"Food & Beverages, Contaminants",May contain food-grade cleaning agents,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/prairie-farms-announces-recall-prairie-farms-gallon-fat-free-milk,
Locatelli,"Wegmans Food Markets, Inc.",11/26/2025,Grated Pecorino Romano Cheese,"Food & Beverages, Foodborne Illness",Potential presence of Listeria monocytogenes.,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/wegmans-recalls-locatelli-grated-pecorino-romano-cheese-due-possible-health-risk,
Choceur,"Silvestri Sweet, Inc.",11/26/2025,Bark candy with nuts and fruit,"Food & Beverages, Allergens",Undeclared pecans and wheat,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/silvestri-sweets-issues-voluntary-allergy-alert-undeclared-pecan-and-wheat-cookie-butter-holiday,
Belevini,"Mamtakim, Inc.",11/25/2025,"Dried Whole Salted Smelt, Mullet, Goby","Food & Beverages, Foodborne Illness",Potential to be contaminated with Clostridium botulinum.,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/mamtakim-inc-recalls-dried-whole-smelts-salted-korushka-because-possible-health-risk,
Boar’s Head,"Supreme Service Solutions, LLC.",11/24/2025,Chicken Caesar Salad and Wrap,Food & Beverages,Due to the potential presence of Listeria monocytogenes,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/supreme-deli-llc-voluntarily-recalls-boars-head-pecorino-romano-cheese-because-possible-health-risk,
Prime Food,Prime Food Processing LLC,11/20/2025,Lava Buns,"Food & Beverages, Allergens",Undeclared milk allergen,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/prime-food-processing-llc-issues-allergy-alert-undeclared-milk-lava-bun-w-salted-egg-yolk-and-lava,
Majestic Chef Pan,SHATA TRADERS INC,11/19/2025,Milk Pan 24cm,Food & Beverages,Product has the potential to be contaminated with significant levels of lead (Pb) which may leach into food,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/shata-traders-inc-recalls-chef-brand-milk-pan-24cm-because-possible-health-risk,
Jeni’s,Jeni’s Splendid Ice Cream,11/18/2025,Passion Fruit Dreamsicle Ice Cream Bars,"Food & Beverages, Allergens","Undeclared allergen - soy, wheat.",https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/jenis-splendid-ice-cream-voluntarily-recalls-passion-fruit-dreamsicle-ice-cream-bars-due-undeclared,
Tops,MANGALM LLC,11/18/2025,Mixed Fruit Jam and Strawberry Jam,"Food & Beverages, Allergens",Undeclared Carmoisine,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/mangalm-llc-recalls-tops-mixed-fruit-jam-and-tops-strawberry-jam-product-because-possible-health,
Face Rock Creamery,Face Rock Creamery LLC,11/15/2025,Vampire Slayer Garlic Cheddar cheese,"Food & Beverages, Foodborne Illness",Potential to be contaminated with Listeria monocytogenes,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/face-rock-creamery-llc-recalls-6oz-vampire-slayer-garlic-cheddar-because-possible-health-risk,
Food To Live,Food To Live,11/13/2025,Organic Supergreens Powder Mix and Organic Moringa Leaf Powder,"Food & Beverages, Foodborne Illness",Potential to be contaminated with Salmonella,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/food-live-voluntarily-recalls-organic-moringa-products-because-possible-health-risk,
Africa Imports,Africa Imports,11/12/2025,Organic Moringa Leaf Powder,Food & Beverages,Potential to be contaminated with Salmonella,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/africa-imports-issues-voluntary-recall-organic-moringa-leaf-powder-due-potential-salmonella,
ByHeart,ByHeart Inc.,11/11/2025,Whole Nutrition Infant formula 24 oz cans and 0.6oz packets,"Food & Beverages, Foodborne Illness",Potential Foodborne Illness – Clostridium botulinum,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/byheart-updates-information-regarding-voluntary-recall-all-batches-byheart-whole-nutrition-infant,
Moonlight/Kroger,Moonlight Companies,11/09/2025,Yellow and white peaches,Food & Beverages,Potential to be contaminated with Listeria monocytogenes.,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/moonlight-companies-voluntarily-recalls-california-grown-conventional-yellow-and-white-peaches,
ByHeart,ByHeart Inc.,11/08/2025,Whole Nutrition Infant formula,Food & Beverages,Potential Foodborne Illness – Clostridium botulinum,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/response-broader-fda-investigation-byheart-initiates-voluntary-recall-two-batches-infant-formula,
Fresenius Kabi,"Fresenius Kabi USA, LLC",11/07/2025,"Famotidine Injection, USP 20 mg per 2 mL",Drugs,Out-of-specification endotoxin results,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/fresenius-kabi-issues-voluntary-nationwide-recall-three-lots-famotidine-injection-usp-20-mg-2-ml-10,
African Food on Wheels Inc.,African Food on Wheels Inc.,11/06/2025,Oven Dried Fish (Scomberomorus cavalla),Food & Beverages,Potential to be contaminated with Clostridium botulinum,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/african-food-wheels-inc-recalls-oven-dried-fish-scomberomorus-cavalla-because-possible-health-risk,
"Blue Oven Bakery, Inc.","Blue Oven Bakery, Inc.",11/06/2025,English muffin,Food & Beverages,Undeclared milk,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/blue-oven-bakery-inc-issues-voluntary-recall-due-undeclared-milk-allergens-their-english-muffin,
SiluetaYa,SiluetaYa,11/04/2025,Tejocote Root dietary supplement,Dietary Supplements,Product contains yellow oleander,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/siluetaya-recalls-tejocote-product-because-possible-health-risk,
Haagen-Dazs,"Dreyer’s Grand Ice Cream, Inc.",11/04/2025,Ice Cream Bars,Food & Beverages,May contain undeclared wheat,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/dreyers-grand-ice-cream-inc-issues-allergy-alert-undeclared-wheat-haagen-dazs-chocolate-dark,
Snow Fruit,JFE Franchising Inc.,11/04/2025,Peach Salsa,"Food & Beverages, Foodborne Illness",Potential to be contaminated with Listeria monocytogenes.,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/jfe-franchising-inc-issues-voluntary-recall-associated-nationwide-peach-recall-because-possible,
ICU Medical,Otsuka ICU Medical LLC,11/03/2025,20 mEq Potassium Chloride Injection,Drugs,Potential for Potassium chloride overdose: 20 mEq Potassium Chloride Injection is Mislabeled As 10 mEq Potassium Chloride Injection,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/otsuka-icu-medical-llc-issues-voluntary-nationwide-recall-20-meq-potassium-chloride-injection-due,
First & Last,First and Last Bakery LLC,11/03/2025,"Marinara Sauce, Puttanesca Sauce, and Meat Flavored Pasta Sauce",Food & Beverages,Potential for Clostridium botulinum hazard as the product is manufactured without an approved schedule,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/first-and-last-bakery-llc-recalls-first-and-last-brand-tomato-sauce-products-because-possible-health,
Olympus,Olympus Corporation,11/03/2025,Bronchofiberscopes and bronchovideoscopes,Medical Devices,Potential for endobronchial combustion,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/olympus-issues-voluntary-labeling-update-bronchoscopes-used-laser-therapy-equipment,
Supreme Produce,Supreme Produce,11/03/2025,Peach Salsa,Food & Beverages,Potential to be contaminated with Listeria monocytogenes.,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/supreme-produce-llc-voluntarily-recalls-moonlight-peaches-because-possible-health-risk,
Monarch Premium,"Vanguard Enterprises, LLC. DBA Bedrock MFG",10/31/2025,"Bali Gold, Red Bali, Green Maeng Da, and White Elephant Kratom powder","Food & Beverages, Foodborne Illness",Potential to be contaminated with Salmonella,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/vanguard-enterprises-llc-dba-bedrock-mfg-recalls-monarch-premium-kratom-powder-because-possible,
Hoque,New Hoque & Sons Inc.,10/29/2025,Dry Ghoinnya Fish,Food & Beverages,Product was found to be uneviscerated. Uneviscerated fish have been linked to outbreaks of botulism poisoning.,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/new-hoque-sons-inc-issues-alert-uneviscerated-dry-ghoinnya-fish,
Purity Products,Dwater,10/28/2025,Dietary Supplement for bladder support,Dietary Supplements,Potential contamination with Escherichia coli O7:K1 and 1303,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/purity-products-announces-recall-dietary-supplement-my-bladder-because-possible-health-risk,
Martin’s and Giant/Casa Mamita,"Teasdale Foods, Inc.",10/28/2025,Taco Dinner Kits,Food & Beverages,May contain undeclared milk.,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/teasdale-latin-foods-issues-allergy-alert-potential-undeclared-milk-certain-taco-dinner-kits,
Hampton Farms,Hampton Farms,10/28/2025,Mixed Nuts,Food & Beverages,Undeclared hazelnut allergen,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/hampton-farms-recalls-mixed-nuts-roasted-unsalted-8-oz-and-mixed-nuts-roasted-and-salted-8-oz,
DEVI,Homeneeds Inc.,10/28/2025,Ground Cinnamon,"Food & Beverages, Contaminants",Potential Metal Contaminant - Lead,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/homeneeds-inc-recalls-devi-brand-ground-cinnamon-dalchini-powder-because-possible-health-risk,
Pacific,Pacific International Marketing,10/28/2025,Italian Parsley,"Food & Beverages, Foodborne Illness",Potential Foodborne Illness – Salmonella contamination,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/pacific-international-marketing-recalls-fresh-italian-parsley-because-possible-health-risk,
Twin Sisters Creamery,"Twin Sisters Creamery, Inc.",10/27/2025,"Whatcom Blue, Farmhouse, Peppercorn and Mustard Seed cheese products",Food & Beverages,Potential Foodborne Illness - Shiga toxin-producing Escherichia coli (STEC) and Escherichia coli O103,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/twin-sisters-creamery-recalls-whatcom-blue-farmhouse-peppercorn-and-mustard-seed-cheese-products,
Twin Sisters Creamery,Peterson Company,10/27/2025,Whatcom Blue and Farmhouse cheese products,Food & Beverages,Potential Foodborne Illness - Shiga toxin-producing Escherichia coli (STEC) and Escherichia coli O103,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/peterson-company-recalls-twin-sisters-creamery-brand-whatcom-blue-and-farmhouse-cheese-products,
Deli Express,E. A. Sween Company,10/27/2025,BBQ Pulled Pork Sandwich,Food & Beverages,Due to the potential presence of foreign particles (plastic).,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/ea-sween-company-announces-product-recall-due-choking-hazard,
Zingerman’s Candy,Zingerman’s Candy Manufactory,10/27/2025,Peanut Butter Crush and Ca$hew Cow candy bars,Food & Beverages,Potential or Undeclared Allergen – Undeclared Cashew and Peanut,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/zingermans-candy-manufactory-issues-allergy-alert-undeclared-peanut-cashew-candy-bars,
Haetae,"Haitai, Inc",10/17/2025,Ground cinnamon,Food & Beverages,Potential Metal Contaminant - Lead,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/haitai-inc-recalls-haetae-ht-brand-cinnamon-powder-8-oz-possible-risk,
Nat’s Nuts,Nat’s Nuts,10/17/2025,Cinnamon Whiskey Pecans,Food & Beverages,Undeclared cashews,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/nats-nuts-issues-allergy-alert-potential-undeclared-cashews-nats-nuts-brand-cinnamon-whiskey-pecans,
Cabot Creamery,Jody's Inc.,10/17/2025,Sea Salt Caramel Cheddar Popcorn,"Food & Beverages, Allergens",Due to presence of undeclared peanuts,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/jodys-inc-recalls-cabot-creamery-sea-salt-caramel-cheddar-popcorn-due-undeclared-peanuts-corrected,
Kenz Henz,Kenz Henz,10/17/2025,Grade AA Large Pasture Raised Eggs,Food & Beverages,Potential to be contaminated with Salmonella,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/kenz-henz-recalls-pastured-raised-eggs-because-possible-health-risk,
Publix,Publix,10/17/2025,Rich & Creamy Vanilla Ice Cream,"Food & Beverages, Allergens",May contain undeclared egg allergen,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/publix-rich-creamy-vanilla-ice-cream-voluntarily-recalled-select-areas,
